"k","alpha0","alpha1","beta1"
80,0.100362253094964,0.394663377704466,0.397831555897611
81,0.100303904264305,0.394696997031119,0.397766799077904
82,0.100385448531618,0.394681497787936,0.397901678708932
83,0.100359189658437,0.394801294965143,0.397804785750634
84,0.100293413546244,0.394672137848189,0.397790509493149
85,0.100269925567305,0.395173689456455,0.397719374737922
86,0.100327176828629,0.394800976883729,0.396996579934186
87,0.100379579812226,0.394897525116112,0.396717626602178
88,0.100321777170545,0.394752964123746,0.396696419840287
89,0.100312577604805,0.39492329950493,0.396772674738118
90,0.100529434686143,0.39524793418708,0.396841729605055
91,0.100552759348767,0.395274787542932,0.396755316538899
92,0.100550042857093,0.394641515714193,0.396746502273845
93,0.100426600093839,0.394923585523011,0.396763408182901
94,0.100444260027373,0.394959593092865,0.396634025227255
95,0.100465902387337,0.394805754185899,0.39644600051564
96,0.100450732539996,0.394731586003534,0.396427371845632
97,0.100473416521572,0.394831198069893,0.396471491914691
98,0.100483001259092,0.394908457020269,0.39652286151104
99,0.100499401389469,0.394783704652503,0.396550682018629
100,0.100482363844492,0.394781760574252,0.396925064355279
101,0.100519787695533,0.394774104415855,0.396769760681675
102,0.100595787776798,0.39460058923302,0.396748051000277
103,0.100603230366818,0.394576728302356,0.396742554352874
104,0.100641739405932,0.394539678282396,0.396761312025795
105,0.100607528861867,0.394728856559233,0.396749110010939
106,0.100576420298851,0.394756640285217,0.396703191978748
107,0.10040893543633,0.394685862508388,0.396998654566927
108,0.100300113656515,0.393786305836232,0.396865136746882
109,0.100428372833756,0.393820368701309,0.39711575833694
110,0.100436604020204,0.393948905671495,0.397091249944487
111,0.100425142870379,0.393839055850124,0.39717954441405
112,0.100332764631077,0.394188138958823,0.396842366099376
113,0.100319824653256,0.394188073239696,0.396818965959598
114,0.100321771265399,0.394161231041103,0.396842363920019
115,0.100297466248235,0.39459556759074,0.396806287355653
116,0.100314326849934,0.394602964693467,0.396614135734798
117,0.100314119190884,0.39462663135854,0.397006838186129
118,0.100345485830741,0.394655520314408,0.39698483941474
119,0.100325802474543,0.394718603162006,0.397295642035391
120,0.100316978581494,0.39427360865894,0.397324751627612
121,0.100287606847308,0.394269370721887,0.397244810879673
122,0.100195729623966,0.394272998140228,0.397296659657723
123,0.100149192209078,0.394305402130178,0.397191630113791
124,0.100138863792759,0.394292619500806,0.397120243151001
125,0.100158551224601,0.394478323654298,0.397086578593933
126,0.100156233264785,0.394587884891457,0.397045273269176
127,0.100073555196943,0.394475984598775,0.397573936962445
128,0.100104296633174,0.394443103465849,0.39788265795676
129,0.100097872439939,0.394099672987385,0.398052011127562
130,0.100047062775148,0.394222998018725,0.3980816649781
131,0.0999821244528779,0.394013989947865,0.398093543521143
132,0.100055236523479,0.39402526768074,0.398018715661619
133,0.100100643755203,0.393994474725607,0.397955268544655
134,0.100080983992595,0.393986072630959,0.397934241559758
135,0.100052642154381,0.39384647310616,0.397878801436604
136,0.100006984963114,0.393880047799745,0.398017838051474
137,0.0999437511568884,0.393843738111567,0.39759067757838
138,0.0999181597172834,0.394396444600858,0.397615238254923
139,0.0999320710788003,0.395288556409227,0.397606386420815
140,0.100081915529914,0.394940638354377,0.397608625818045
141,0.100254346445346,0.394840779689227,0.397738227778792
142,0.100252623570283,0.393735219218125,0.397840619171803
143,0.100239123905602,0.393805104662889,0.39778985984404
144,0.100220511053258,0.394540803228743,0.397625808549407
145,0.100266290540954,0.39453968987313,0.397442623970047
146,0.100202607452832,0.39421862345403,0.397371642936592
147,0.100258527354674,0.394274798391422,0.396633602705817
148,0.100235912397475,0.394480132516351,0.396602270974903
149,0.100304946817754,0.394576390614091,0.396596174863672
150,0.100271955197014,0.394603627023295,0.396527184732712
151,0.100261443693458,0.394646294099778,0.396613305451241
152,0.100066634625052,0.394604591416813,0.396540139919002
153,0.100019432063118,0.394641744993681,0.39611756987833
154,0.100113579060055,0.394705176263478,0.396117689489137
